Repo,Stars,Forks
next.js,133828,29103
hyper,44182,3538
swr,31819,1277
turborepo,28428,2067
pkg,24403,1048
vercel,13954,2783
commerce,13364,4984
micro,10612,454
serve,9692,695
ncc,9657,300
styled-jsx,7778,265
nextjs-subscription-payments,7534,1673
ms,5334,281
next-learn,4475,2142
og-image,4053,1273
examples,3979,1338
release,3581,115
hazel,2939,398
next-plugins,2672,321
virtual-event-starter-kit,2169,439
async-retry,1887,57
nft,1481,157
avatar,1291,88
arg,1286,55
nextgram,993,227
next-react-server-components,992,162
fun,911,39
server-components-notes-demo,746,85
nextjs-portfolio-starter,716,274
micro-dev,708,77
static-fun,650,80
async-sema,645,31
hyperpower,634,127
react-keyframes,622,29
title,601,36
serve-handler,601,96
fetch,573,26
vrs,526,88
swr-site,500,358
hyper-site,456,199
pkg-fetch,454,213
spr-landing,447,82
reactions,313,43
email-prompt,276,26
uid-promise,256,13
fetch-retry,224,18
git-hooks,204,10
zsh-theme,189,30
cosmosdb-server,178,30
update-check,166,16
test-listen,156,19
install-node,143,29
title-site,133,22
preview-mode-demo,121,28
nextjs-discord-bot,114,28
community,112,6
webpack-asset-relocator-loader,105,33
err-sh,99,18
commerce-framework,98,20
hyperyellow,93,43
schemas,86,27
next-codemod,66,3
async-listen,50,2
dns-cached-resolve,49,9
wait-for,49,4
example-integration,49,24
tracing-js,46,2
fetch-cached-dns,39,10
resolve-node,33,14
xterm.js,30,8
stripe-integration,30,11
remark-capitalize,29,3
rcurl,26,4
release-auth,24,8
go-bridge,22,7
gatsby-plugin-vercel,22,3
cosmosdb-query,19,8
react-jsx-parser,17,3
react-maskedinput,15,2
actions,15,8
jsonpath,13,3
SyslogPro,13,4
json-schema-to-ts,13,3
sqsmv,13,2
sqs-consumer,12,3
lua-aws,11,2
vscode-material-icon-theme,11,2
has-changed-path,11,2
redis-semaphore,10,4
response,10,3
algolite,10,5
cla,9,2
xopt,7,3
rollup-plugin-commonjs,7,4
lua-resty-template,7,2
amazon-kinesis-client-nodejs,7,2
terraform-aws-eks,6,2
lua-bcrypt,6,2
busted,6,3
clabot-config,6,2